"lon","lat","Max_Snow"
-112,51.1,0.0366592407226562
-111.9,51.1,0.0345487594604492
-111.8,51.1,0.0335311889648438
-111.7,51.1,0.034602165222168
-111.6,51.1,0.0341796875
-111.5,51.1,0.033538818359375
-111.4,51.1,0.0338640213012695
-111.3,51.1,0.0343523025512695
-111.2,51.1,0.0377635955810547
-111.1,51.1,0.0390167236328125
-111,51.1,0.0392837524414062
-110.9,51.1,0.0391521453857422
-110.8,51.1,0.0374517440795898
-110.7,51.1,0.0376615524291992
-110.6,51.1,0.0378665924072266
-110.5,51.1,0.0376596450805664
-110.4,51.1,0.0373439788818359
-110.3,51.1,0.0375633239746094
-110.2,51.1,0.0382652282714844
-110.1,51.1,0.0388765335083008
-110,51.1,0.040196418762207
-109.9,51.1,0.041081428527832
-109.8,51.1,0.0417165756225586
-109.7,51.1,0.0425710678100586
-109.6,51.1,0.0422134399414062
-109.5,51.1,0.0429515838623047
-109.4,51.1,0.0442895889282227
-109.3,51.1,0.045069694519043
-109.2,51.1,0.0454425811767578
-109.1,51.1,0.0456666946411133
-109,51.1,0.0455484390258789
-108.9,51.1,0.0456905364990234
-108.8,51.1,0.0458478927612305
-108.7,51.1,0.0453205108642578
-108.6,51.1,0.0454416275024414
-108.5,51.1,0.0461111068725586
-108.4,51.1,0.046412467956543
-108.3,51.1,0.0467166900634766
-108.2,51.1,0.0472192764282227
-108.1,51.1,0.0493650436401367
-108,51.1,0.0498819351196289
-107.9,51.1,0.0482053756713867
-107.8,51.1,0.0483283996582031
-107.7,51.1,0.0485191345214844
-107.6,51.1,0.0486278533935547
-107.5,51.1,0.0485401153564453
-107.4,51.1,0.0480947494506836
-107.3,51.1,0.0470714569091797
-107.2,51.1,0.0461635589599609
-107.1,51.1,0.0507364273071289
-107,51.1,0.0472707748413086
-106.9,51.1,0.0449943542480469
-106.8,51.1,0.0490732192993164
-106.7,51.1,0.051548957824707
-106.6,51.1,0.0522432327270508
-106.5,51.1,0.0494108200073242
-106.4,51.1,0.051116943359375
-106.3,51.1,0.0509786605834961
-106.2,51.1,0.0490932464599609
-106.1,51.1,0.0483598709106445
-106,51.1,0.0492048263549805
-105.9,51.1,0.0504856109619141
-105.8,51.1,0.0516262054443359
-105.7,51.1,0.0512523651123047
-105.6,51.1,0.0509586334228516
-105.5,51.1,0.0501842498779297
-105.4,51.1,0.0568914413452148
-105.3,51.1,0.0614938735961914
-105.2,51.1,0.0599918365478516
-105.1,51.1,0.0572547912597656
-105,51.1,0.0529851913452148
-104.9,51.1,0.0525856018066406
-104.8,51.1,0.0566673278808594
-104.7,51.1,0.0617237091064453
-104.6,51.1,0.0653104782104492
-104.5,51.1,0.0682058334350586
-104.4,51.1,0.0709133148193359
-104.3,51.1,0.0740222930908203
-104.2,51.1,0.0761928558349609
-104.1,51.1,0.0765209197998047
-104,51.1,0.0767078399658203
-103.9,51.1,0.0764646530151367
-103.8,51.1,0.0761995315551758
-103.7,51.1,0.0755224227905273
-103.6,51.1,0.0756587982177734
-103.5,51.1,0.0752038955688477
-103.4,51.1,0.0747194290161133
-103.3,51.1,0.0745573043823242
-103.2,51.1,0.074122428894043
-103.1,51.1,0.0757465362548828
-103,51.1,0.0768060684204102
-102.9,51.1,0.0781040191650391
-102.8,51.1,0.0775966644287109
-102.7,51.1,0.0772933959960938
-102.6,51.1,0.0740127563476562
-102.5,51.1,0.0738458633422852
-102.4,51.1,0.0772438049316406
-102.3,51.1,0.0803146362304688
-102.2,51.1,0.082036018371582
-102.1,51.1,0.0831756591796875
-102,51.1,0.0840606689453125
-101.9,51.1,0.0849733352661133
-101.8,51.1,0.0857934951782227
-101.7,51.1,0.0850362777709961
-101.6,51.1,0.0859384536743164
-101.5,51.1,0.086268424987793
-101.4,51.1,0.0845460891723633
-101.3,51.1,0.0832433700561523
-101.2,51.1,0.0853633880615234
-101.1,51.1,0.088200569152832
-101,51.1,0.0921049118041992
-100.9,51.1,0.0956411361694336
-100.8,51.1,0.0981569290161133
-100.7,51.1,0.102508544921875
-100.6,51.1,0.103343963623047
-100.5,51.1,0.106207847595215
-100.4,51.1,0.100497245788574
-100.3,51.1,0.0973062515258789
-100.2,51.1,0.0947551727294922
-100.1,51.1,0.0952167510986328
-100,51.1,0.0945053100585938
-99.9,51.1,0.0924472808837891
-99.8,51.1,0.062190055847168
-99.7,51.1,0.0472803115844727
-99.6,51.1,0.0822200775146484
-99.5,51.1,0.0828523635864258
-99.4,51.1,0.0784873962402344
-99.3,51.1,0.0758171081542969
-99.2,51.1,0.0709028244018555
-99.1,51.1,0.0785818099975586
-99,51.1,0.0849647521972656
-98.9,51.1,0.0484828948974609
-98.8,51.1,0.00731563568115234
-98.7,51.1,0.061518669128418
-98.6,51.1,0.0555429458618164
-98.5,51.1,0.0284614562988281
-98.4,51.1,0.0683002471923828
-98.3,51.1,0.0703239440917969
-98.2,51.1,0.0686855316162109
-98.1,51.1,0.0697860717773438
-98,51.1,0.0693521499633789
-97.9,51.1,0.0685663223266602
-97.8,51.1,0.064051628112793
-97.7,51.1,0.0605297088623047
-97.6,51.1,0.0626630783081055
-97.5,51.1,0.0634937286376953
-97.4,51.1,0.0651779174804688
-97.3,51.1,0.0606412887573242
-97.2,51.1,0.0566730499267578
-97.1,51.1,0.0565290451049805
-97,51.1,0.0645408630371094
-96.9,51.1,0.0607271194458008
-96.8,51.1,0.0483760833740234
-96.7,51.1,0.0402078628540039
-96.6,51.1,-7.27919033709973e-25
-96.5,51.1,-7.27919033709973e-25
-96.4,51.1,0.0284900665283203
-96.3,51.1,0.0747880935668945
-96.2,51.1,0.0769338607788086
-96.1,51.1,0.0790672302246094
-96,51.1,0.0828418731689453
-95.9,51.1,0.0842180252075195
-95.8,51.1,0.0848274230957031
-95.7,51.1,0.0855207443237305
-95.6,51.1,0.0862817764282227
-95.5,51.1,0.0878133773803711
-95.4,51.1,0.090428352355957
-95.3,51.1,0.0929479598999023
-95.2,51.1,0.0991992950439453
-95.1,51.1,0.101366996765137
-95,51.1,0.10225772857666
-140,51.2,NA
-139.9,51.2,NA
-139.8,51.2,NA
-139.7,51.2,NA
-139.6,51.2,NA
-139.5,51.2,NA
-139.4,51.2,NA
-139.3,51.2,NA
-139.2,51.2,NA
-139.1,51.2,NA
-139,51.2,NA
-138.9,51.2,NA
-138.8,51.2,NA
-138.7,51.2,NA
-138.6,51.2,NA
-138.5,51.2,NA
-138.4,51.2,NA
-138.3,51.2,NA
-138.2,51.2,NA
-138.1,51.2,NA
-138,51.2,NA
-137.9,51.2,NA
-137.8,51.2,NA
-137.7,51.2,NA
-137.6,51.2,NA
-137.5,51.2,NA
-137.4,51.2,NA
-137.3,51.2,NA
-137.2,51.2,NA
-137.1,51.2,NA
-137,51.2,NA
-136.9,51.2,NA
-136.8,51.2,NA
-136.7,51.2,NA
-136.6,51.2,NA
-136.5,51.2,NA
-136.4,51.2,NA
-136.3,51.2,NA
-136.2,51.2,NA
-136.1,51.2,NA
-136,51.2,NA
-135.9,51.2,NA
-135.8,51.2,NA
-135.7,51.2,NA
-135.6,51.2,NA
-135.5,51.2,NA
-135.4,51.2,NA
-135.3,51.2,NA
-135.2,51.2,NA
-135.1,51.2,NA
-135,51.2,NA
-134.9,51.2,NA
-134.8,51.2,NA
-134.7,51.2,NA
-134.6,51.2,NA
-134.5,51.2,NA
-134.4,51.2,NA
-134.3,51.2,NA
-134.2,51.2,NA
-134.1,51.2,NA
-134,51.2,NA
-133.9,51.2,NA
-133.8,51.2,NA
-133.7,51.2,NA
-133.6,51.2,NA
-133.5,51.2,NA
-133.4,51.2,NA
-133.3,51.2,NA
-133.2,51.2,NA
-133.1,51.2,NA
-133,51.2,NA
-132.9,51.2,NA
-132.8,51.2,NA
-132.7,51.2,NA
-132.6,51.2,NA
-132.5,51.2,NA
-132.4,51.2,NA
-132.3,51.2,NA
-132.2,51.2,NA
-132.1,51.2,NA
-132,51.2,NA
-131.9,51.2,NA
-131.8,51.2,NA
-131.7,51.2,NA
-131.6,51.2,NA
-131.5,51.2,NA
-131.4,51.2,NA
-131.3,51.2,NA
-131.2,51.2,NA
-131.1,51.2,NA
-131,51.2,NA
-130.9,51.2,NA
-130.8,51.2,NA
-130.7,51.2,NA
-130.6,51.2,NA
-130.5,51.2,NA
-130.4,51.2,NA
-130.3,51.2,NA
-130.2,51.2,NA
-130.1,51.2,NA
-130,51.2,NA
-129.9,51.2,NA
-129.8,51.2,NA
-129.7,51.2,NA
-129.6,51.2,NA
-129.5,51.2,NA
-129.4,51.2,NA
-129.3,51.2,NA
-129.2,51.2,NA
-129.1,51.2,NA
-129,51.2,NA
-128.9,51.2,NA
-128.8,51.2,NA
-128.7,51.2,NA
-128.6,51.2,NA
-128.5,51.2,NA
-128.4,51.2,NA
-128.3,51.2,NA
-128.2,51.2,NA
-128.1,51.2,NA
-128,51.2,NA
-127.9,51.2,NA
-127.8,51.2,NA
-127.7,51.2,0.00535106658935547
-127.6,51.2,0.00601959228515625
-127.5,51.2,0.00702762603759766
-127.4,51.2,0.00937938690185547
-127.3,51.2,0.0151262283325195
-127.2,51.2,0.0226373672485352
-127.1,51.2,0.0463762283325195
-127,51.2,0.20964241027832
-126.9,51.2,0.443397521972656
-126.8,51.2,0.669235229492188
-126.7,51.2,0.877571105957031
-126.6,51.2,1.04079532623291
-126.5,51.2,1.263671875
-126.4,51.2,1.45676612854004
