"","Latitude","Longitude","ACF_value","P_value"
"481",60.9,-130.4,0.484693032484284,0.00464934874103717
"482",60.9,-130.3,0.47638147622514,0.00540517787854622
"483",60.9,-130.2,0.470379062153319,0.00601819869751308
"484",60.9,-130.1,0.463605754344066,0.00678461471457747
"485",60.9,-130,0.457581747481334,0.00753876152255928
"486",60.9,-129.9,0.461961737341582,0.00698339527415703
"487",60.9,-129.8,0.459191869003813,0.00733016014667887
"488",60.9,-129.7,0.455677579337874,0.00779231703050798
"489",60.9,-129.6,0.449271761293732,0.00870233533992881
"490",60.9,-129.5,0.420068708767762,0.0141670398469578
"491",60.9,-129.4,0.388919806064889,0.0231406108113301
"492",60.9,-129.3,0.387505144930681,0.0236452921505946
"493",60.9,-129.2,0.388040335266461,0.0234532505111867
"494",60.9,-129.1,0.416108449175328,0.0151040796967444
"495",60.9,-129,0.449656685089095,0.00864508145148202
"496",60.9,-128.9,0.460885391470676,0.00711635552145173
"497",60.9,-128.8,0.461051160989109,0.0070957311883455
"498",60.9,-128.7,0.448638565259812,0.00879725493409367
"499",60.9,-128.6,0.430375075038034,0.01196468841584
"500",60.9,-128.5,0.42399139171343,0.0132898400934185
"501",60.9,-128.4,0.4221907859545,0.0136863518881286
"502",60.9,-128.3,0.408692143988325,0.0170065468531981
"503",60.9,-128.2,0.411252831715836,0.0163271453972011
"504",60.9,-128.1,0.387975440628595,0.0234764642152839
"505",60.9,-128,0.388989661036272,0.0231159341973242
"506",60.9,-127.9,0.380247803524464,0.0263872288585522
"507",60.9,-127.8,0.372908175302386,0.029435461094282
"508",60.9,-127.7,0.355659756086184,0.0378124102258204
"509",60.9,-127.6,0.367330038223926,0.0319503446049425
"510",60.9,-127.5,0.374840913875095,0.0286047480090709
"511",60.9,-127.4,0.366333620026503,0.0324184465596773
"512",60.9,-127.3,0.355964677501528,0.0376483322005885
"513",60.9,-127.2,0.353172216006346,0.039173816545049
"514",60.9,-127.1,0.338952438880728,0.0477800201599297
"515",61,-131.9,0.537026113203665,0.00171283796870758
"516",61,-131.8,0.531893510635692,0.00189634744165268
"517",61,-131.7,0.52413747297407,0.00220811721601732
"518",61,-131.6,0.521802455409415,0.00231079160766223
"519",61,-131.5,0.522122532487013,0.00229646331956568
"520",61,-131.4,0.52138443802245,0.00232962749843368
"521",61,-131.3,0.525104973998671,0.00216681329951773
"522",61,-131.2,0.527147719543976,0.00208192255192863
"523",61,-131.1,0.523046317696237,0.00225556511767389
"524",61,-131,0.51324740778878,0.00272544503386851
"525",61,-130.9,0.508465701896444,0.00298580176303864
"526",61,-130.8,0.500852311790066,0.00344747056029826
"527",61,-130.7,0.488316532034954,0.00435087764132813
"528",61,-130.6,0.470469661478239,0.00600849841645246
"529",61,-130.5,0.460510989462538,0.00716313518472267
"530",61,-130.4,0.451681169445942,0.00834946441019024
"531",61,-130.3,0.448399494349973,0.00883333285646248
"532",61,-130.2,0.447222404888801,0.00901290072252015
"533",61,-130.1,0.447762863992533,0.00893005152465443
"534",61,-130,0.449129606346404,0.00872356511674155
"535",61,-129.9,0.451305595828418,0.00840361311501403
"536",61,-129.8,0.459978566550355,0.00723013416221041
"537",61,-129.7,0.464963750643672,0.00662426840479391
"538",61,-129.6,0.454749856251276,0.00791859746199808
"539",61,-129.5,0.430017556348588,0.0120356842860169
"540",61,-129.4,0.404230360727248,0.0182497529872898
"541",61,-129.3,0.376343323887204,0.0279730184531698
"542",61,-129.2,0.392450745085125,0.0219215640831825
"543",61,-129.1,0.413813084865395,0.0156718174377269
"544",61,-129,0.452777712647867,0.0081931506932521
"545",61,-128.9,0.461821634252379,0.00700057486363936
"546",61,-128.8,0.463132496002595,0.00684130932403937
"547",61,-128.7,0.463364057314948,0.00681351615867942
"548",61,-128.6,0.453744022159677,0.00805757837819188
"549",61,-128.5,0.448694229728132,0.00878887359075886
"550",61,-128.4,0.442009761947369,0.00984788945077963
"551",61,-128.3,0.437532616073648,0.0106193687975804
"552",61,-128.2,0.423410011639428,0.0134167413861682
"553",61,-128.1,0.420849437996376,0.0139884857457111
"554",61,-128,0.420899498927921,0.0139771047937594
"555",61,-127.9,0.414429723846097,0.0155174821041626
"556",61,-127.8,0.408315529540754,0.0171085348323734
"557",61,-127.7,0.403963970062269,0.0183264336949195
"558",61,-127.6,0.402120889976394,0.0188647337308305
"559",61,-127.5,0.395387511170065,0.0209506025582622
"560",61,-127.4,0.380207003127079,0.0264033895460601
"561",61,-127.3,0.356484423398337,0.037370053526514
"562",61,-127.2,0.344597665048997,0.0441898880692374
"563",61.1,-131.8,0.523928054154412,0.00221715205207396
"564",61.1,-131.7,0.495920020667717,0.00378030522662876
"565",61.1,-131.6,0.497993337185448,0.003636991207011
"566",61.1,-131.5,0.501806484685131,0.00338624800655751
"567",61.1,-131.4,0.503675207662928,0.00326920444259438
"568",61.1,-131.3,0.514653743054259,0.00265291891329256
"569",61.1,-131.2,0.516784826146491,0.00254637382664347
"570",61.1,-131.1,0.511490313135702,0.00281860440103954
"571",61.1,-131,0.505071828407142,0.00318414972006065
"572",61.1,-130.9,0.493574113473922,0.00394863656588096
"573",61.1,-130.8,0.479850914447878,0.00507712489805268
"574",61.1,-130.7,0.464805555761886,0.0066427703854276
"575",61.1,-130.6,0.466390478651031,0.00645948464076085
"576",61.1,-130.5,0.453194222709159,0.0081344663630567
"577",61.1,-130.4,0.454733388450847,0.00792085549887467
"578",61.1,-130.3,0.453110624047564,0.00814621475685995
"579",61.1,-130.2,0.452356118614786,0.00825293690317674
"580",61.1,-130.1,0.454096742917667,0.00800859457107739
"581",61.1,-130,0.455124146896282,0.00786743058950745
"582",61.1,-129.9,0.454806068360756,0.0079108940949919
"583",61.1,-129.8,0.452353521358902,0.00825330642648514
"584",61.1,-129.7,0.444644951761989,0.0094175253210852
"585",61.1,-129.6,0.451520859957898,0.00837253889677059
"586",61.1,-129.5,0.445872160781946,0.00922289215358207
"587",61.1,-129.4,0.425538200627669,0.0129573614338305
"588",61.1,-129.3,0.404334858499387,0.018219750038868
"589",61.1,-129.2,0.408823804761084,0.0169710189062399
"590",61.1,-129.1,0.436200902902437,0.0108589893084093
"591",61.1,-129,0.455008110429417,0.00788326142454565
